JD                        TFO                       ImpulsiveBurn1.Element1   ImpulsiveBurn1.Element2   ImpulsiveBurn1.Element3   Add_V                     
31136.99962962963         290                       -0.2119412705357453       -2.050833523417579        -9.330587156368583        9.555662924440147         
31136.99962962963         295                       -0.1417676646580158       -1.947625335046326        -9.083231632817069        9.290771733923158         
31136.99962962963         300                       -0.027018235188989        -1.768241631337877        -8.73431318575383         8.911545055637793         
31136.99962962963         305                       0.07922714693881049       -1.477569652320529        -8.449197459842205        8.577786820251168         
31136.99962962963         310                       0.1992009081276967        -1.15912731569621         -8.224933796650667        8.308597540805449         
31136.99962962963         315                       0.3334776578255288        -0.6590122929790223       -8.094065076293166        8.127693031225709         
31136.99962962963         320                       0.5193110269018978        0.1424275095114797        -8.112566311167633        8.130418297432154         
31136.99962962963         325                       0.8068461800091611        1.900801153350783         -8.593947511953312        8.838550764745516         
31136.99962962963         330                       0.7821009721395059        7.242145399750957         -11.17468296932585        13.33918630901813         
31141.99962962963         290                       0.2607321312953731        -1.840279088118842        -9.096147764215395        9.284099984107133         
31141.99962962963         295                       0.3288817023174728        -1.756113621231442        -8.790057182192822        8.969793949194901         
31141.99962962963         300                       0.3822102092655841        -1.612002833736658        -8.45099793657015         8.611852524512644         
31141.99962962963         305                       0.463492591486278         -1.361211188162391        -8.131239151250941        8.257407063720262         
31141.99962962963         310                       0.5659557636239403        -1.023344227992069        -7.92393074496773         8.009757660902649         
31141.99962962963         315                       0.6931218105665697        -0.4622680333181282       -7.830095428448957        7.87429387294684          
31141.99962962963         320                       0.8946808528639454        0.5401460242037797        -7.953450483399956        8.021819378908969         
31141.99962962963         325                       1.203662428778891         2.948378866747009         -8.80030219151117         9.358795854502361         
31141.99962962963         330                       -0.2359391350875614       11.83159725321026         -14.41061255306321        18.64693312564137         
31146.99962962963         290                       0.6691454149335276        -1.748743868040484        -8.722188326698314        8.920898492233173         
31146.99962962963         295                       0.7159529658864131        -1.660918086946101        -8.426039996883421        8.617968877292689         
31146.99962962963         300                       0.7449181277060658        -1.514495738040068        -8.098774430171428        8.27277145993561          
31146.99962962963         305                       0.803806227954694         -1.249003357257574        -7.795477035065661        7.935715219359597         
