heliocentric_SC.UTCGregorian   heliocentric_SC.Mars_Inertial.VX   heliocentric_SC.Mars_Inertial.VY   heliocentric_SC.Mars_Inertial.VZ   
06 Jun 2026 11:59:28.000       0.9861038938860848                 -2.826025013380013                 1.237414968448362                  
heliocentric_SC.UTCGregorian   heliocentric_SC.EarthMJ2000Eq.VX   heliocentric_SC.EarthMJ2000Eq.VY   heliocentric_SC.EarthMJ2000Eq.VZ   
22 May 2027 11:59:28.000       1.100635778798285                  -1.811423289426987                 -1.833161284984295                 
06 Jun 2026 11:59:28.000       0.9862033976051106                 -2.826015063008136                 1.237414968448378                  
22 May 2027 11:59:28.000       1.099720029444548                  -1.812494252343713                 -1.833595292785001                 
06 Jun 2026 11:59:28.000       0.9860964381241761                 -2.825950455760648                 1.237348744789375                  
22 May 2027 11:59:28.000       1.099829835929789                  -1.812092648936787                 -1.833404481515408                 
06 Jun 2026 11:59:28.000       0.9860973043857344                 -2.825959118376453                 1.237489897928481                  
22 May 2027 11:59:28.000       1.100062584108411                  -1.811935794017074                 -1.833488271154983                 
06 Jun 2026 11:59:28.000       0.9032234705029607                 -2.920264474907099                 1.243039019607396                  
22 May 2027 11:59:28.000       2.703705507516304                  -0.0005049006785995402             -1.048186427392579                 
06 Jun 2026 11:59:28.000       0.9033229742219839                 -2.920254524535225                 1.243039019607413                  
22 May 2027 11:59:28.000       2.702905696275373                  -0.0016839612523043                -1.048674199917303                 
06 Jun 2026 11:59:28.000       0.9032160147410495                 -2.920189917287735                 1.242972795948412                  
22 May 2027 11:59:28.000       2.702960270884503                  -0.001275978223159058              -1.048479494591279                 
06 Jun 2026 11:59:28.000       0.9032168810026102                 -2.920198579903539                 1.243113949087515                  
22 May 2027 11:59:28.000       2.703188863939381                  -0.001089469947951116              -1.048542965810282                 
06 Jun 2026 11:59:28.000       0.8884820075884123                 -3.048276944346236                 1.273016552775578                  
22 May 2027 11:59:28.000       4.022159634368489                  1.639951491727745                  -0.3244940359423696                
06 Jun 2026 11:59:28.000       0.8885815113074336                 -3.048266993974356                 1.273016552775592                  
22 May 2027 11:59:28.000       4.021468131147731                  1.638679808820678                  -0.3250278372985873                
06 Jun 2026 11:59:28.000       0.888474551826504                  -3.048202386726871                 1.272950329116592                  
22 May 2027 11:59:28.000       4.021479302682724                  1.639095525194675                  -0.324829084373305                 
06 Jun 2026 11:59:28.000       0.8884754180880574                 -3.048211049342672                 1.273091482255694                  
22 May 2027 11:59:28.000       4.021699382663961                  1.639306427914597                  -0.3248749167479179                
06 Jun 2026 11:59:28.000       0.9556342779290101                 -2.974801277301285                 1.269026329893538                  
22 May 2027 11:59:28.000       2.892680792699469                  0.04070687599770473                -1.024294319291858                 
06 Jun 2026 11:59:28.000       0.955733781648036                  -2.97479132692941                  1.269026329893553                  
22 May 2027 11:59:28.000       2.891878072933604                  0.03950908754662663                -1.024790133539275                 
06 Jun 2026 11:59:28.000       0.9556268221671065                 -2.974726719681924                 1.268960106234555                  
22 May 2027 11:59:28.000       2.891935526556896                  0.03992653630094267                -1.024591340577909                 
06 Jun 2026 11:59:28.000       0.9556276884286623                 -2.974735382297723                 1.269101259373655                  
22 May 2027 11:59:28.000       2.892163802870638                  0.04011407466376227                -1.024654690222347                 
06 Jun 2026 11:59:28.000       0.996708884074216                  -2.950384639176044                 1.271485198935581                  
22 May 2027 11:59:28.000       2.351598268131092                  -0.6618130395781314                -1.328177572494666                 
06 Jun 2026 11:59:28.000       0.9968083877932419                 -2.950374688804169                 1.271485198935596                  
22 May 2027 11:59:28.000       2.350747537076156                  -0.6629754592411192                -1.328655339100162                 
06 Jun 2026 11:59:28.000       0.9967014283123121                 -2.950310081556684                 1.271418975276598                  
22 May 2027 11:59:28.000       2.350827047506908                  -0.6625576028146369                -1.328456782607558                 
06 Jun 2026 11:59:28.000       0.9967022945738682                 -2.950318744172483                 1.271560128415699                  
22 May 2027 11:59:28.000       2.351057700535982                  -0.6623809871189632                -1.328527997566458                 
06 Jun 2026 11:59:28.000       0.9705565506204985                 -2.981109755357551                 1.273483777850352                  
22 May 2027 11:59:28.000       2.852862353963328                  -0.05059260699530377               -1.062281784840905                 
06 Jun 2026 11:59:28.000       0.9706560543395215                 -2.981099804985677                 1.273483777850369                  
22 May 2027 11:59:28.000       2.852052325994308                  -0.05178897900892565               -1.062776573599977                 
06 Jun 2026 11:59:28.000       0.9705490948585944                 -2.98103519773819                  1.27341755419137                   
22 May 2027 11:59:28.000       2.852113331300146                  -0.05136972125241712               -1.062577063585725                 
06 Jun 2026 11:59:28.000       0.970549961120148                  -2.98104386035399                  1.273558707330472                  
22 May 2027 11:59:28.000       2.852341961712877                  -0.05118347232138021               -1.062641475625473                 
06 Jun 2026 11:59:28.000       0.9889298870612937                 -3.079471047620401                 1.299659517214432                  
22 May 2027 11:59:28.000       3.694936596802762                  0.8679727639651009                 -0.6513945547916844                
06 Jun 2026 11:59:28.000       0.9890293907803169                 -3.079461097248527                 1.29965951721445                   
22 May 2027 11:59:28.000       3.694184496613541                  0.8667133471353683                 -0.6519197056381101                
06 Jun 2026 11:59:28.000       0.9889224312993872                 -3.079396490001042                 1.299593293555452                  
22 May 2027 11:59:28.000       3.694222289927495                  0.8671428188869026                 -0.6517154272387442                
06 Jun 2026 11:59:28.000       0.9889232975609434                 -3.079405152616842                 1.299734446694552                  
22 May 2027 11:59:28.000       3.694446773353537                  0.8673434551362984                 -0.6517699732326081                
06 Jun 2026 11:59:28.000       1.026446063525962                  -3.038803608314859                 1.297464486375274                  
